Latitude,Longitude,Hour
29.834611,-95.384566,7
29.841604,-95.384569,13
29.834611,-95.384566,9
29.860681,-95.384872,18
29.870046,-95.385059,8
29.858601,-95.384827,23
29.859433,-95.384852,10
29.870046,-95.385059,10
29.859433,-95.384852,5
29.866466,-95.38498,17
29.860681,-95.384872,12
29.872752,-95.385101,10
29.870046,-95.385059,21
29.870046,-95.385059,19
29.862898,-95.38491,20
29.855602,-95.384781,19
29.870046,-95.385059,21
29.870046,-95.385059,9
29.864444,-95.384947,12
29.875517,-95.386499,21
29.855454,-95.384634,19
29.927525,-95.409593,21
29.931645,-95.411184,3
29.855454,-95.384634,13
29.855454,-95.384634,14
29.927525,-95.409593,19
29.884909,-95.392278,2
29.655333,-95.263462,9
29.652317,-95.253847,10
29.652265,-95.257897,7
29.647353,-95.306032,15
29.655333,-95.263462,8
29.657993,-95.278637,8
29.655599,-95.289676,8
29.657993,-95.278637,13
29.657993,-95.278637,12
29.644097,-95.371846,14
29.645385,-95.367232,16
29.813142,-95.309789,23
29.645738,-95.318641,11
29.647353,-95.306032,11
29.647353,-95.306032,20
29.647353,-95.306032,16
29.646922,-95.359405,0
29.646922,-95.359405,21
29.658189,-95.269026,14
29.645738,-95.318641,7
29.645765,-95.316612,12
29.645765,-95.316612,14
29.658189,-95.269026,22
29.645765,-95.316612,14
29.645738,-95.318641,9
29.645765,-95.316612,13
29.6579,-95.276701,10
29.658137,-95.27212,4
29.658137,-95.27212,17
29.6579,-95.276701,21
29.658137,-95.27212,15
29.6579,-95.276701,16
29.658137,-95.27212,9
29.658137,-95.27212,12
29.6579,-95.276701,11
29.6579,-95.276701,13
29.658137,-95.27212,14
29.658137,-95.27212,11
29.658137,-95.27212,9
29.734838,-95.374694,7
29.734838,-95.374694,9
29.726412,-95.360688,18
29.72592,-95.359247,18
29.72592,-95.359247,13
29.728768,-95.364586,15
29.72592,-95.359247,23
29.72592,-95.359247,9
29.730827,-95.368018,22
29.72592,-95.359247,10
29.727321,-95.362184,12
29.731576,-95.369695,18
29.731576,-95.369695,16
29.731576,-95.369695,18
29.731576,-95.369695,20
29.731576,-95.369695,11
29.731576,-95.369695,18
29.731576,-95.369695,12
29.731576,-95.369695,18
29.731576,-95.369695,13
29.731576,-95.369695,17
29.731576,-95.369695,17
29.731576,-95.369695,18
29.731576,-95.369695,10
29.731576,-95.369695,16
29.731576,-95.369695,20
29.731576,-95.369695,11
29.731576,-95.369695,6
29.731576,-95.369695,14
29.733905,-95.373083,19
29.733905,-95.373083,7
29.730827,-95.368018,23
29.735437,-95.375637,17
29.730827,-95.368018,22
29.730827,-95.368018,0
29.730827,-95.368018,22
29.733905,-95.373083,17
29.731342,-95.36887,19
29.730827,-95.368018,11
29.731726,-95.369695,14
29.730827,-95.368018,20
29.730827,-95.368018,23
29.723869,-95.350988,8
29.734838,-95.374694,11
29.865718,-95.421827,15
29.865718,-95.421827,14
29.865718,-95.421827,8
29.865718,-95.421827,17
29.723812,-95.415111,9
29.74809,-95.383139,1
29.747388,-95.383889,0
29.674488,-95.230476,13
29.657114,-95.497955,3
29.815851,-95.558381,20
29.710446,-95.480366,20
29.710446,-95.480366,22
29.709191,-95.480359,11
29.787109,-95.296746,13
29.813142,-95.309789,14
29.931916,-95.402277,18
29.93194,-95.400353,5
29.813142,-95.309789,20
29.931916,-95.402277,0
29.813142,-95.309789,19
29.931916,-95.402277,13
29.93194,-95.400353,11
29.930734,-95.304289,20
29.849631,-95.349665,22
29.844096,-95.344074,22
29.845973,-95.346684,16
29.845973,-95.346684,12
29.914775,-95.355479,10
29.936534,-95.356361,20
29.860771,-95.350072,10
29.914775,-95.355479,13
29.914775,-95.355479,12
29.914775,-95.355479,15
29.914775,-95.355479,19
29.914775,-95.355479,19
29.914775,-95.355479,20
29.914775,-95.355479,21
29.914775,-95.355479,20
29.96075,-95.360883,6
29.914775,-95.355479,7
29.92951,-95.356159,15
29.914775,-95.355479,20
29.59623,-95.198448,12
29.59623,-95.198448,13
29.596097,-95.195932,15
29.596097,-95.195932,17
29.596097,-95.195932,7
29.796922,-95.386789,19
29.688682,-95.358412,19
29.687952,-95.356035,8
29.693445,-95.374037,15
29.711721,-95.630837,17
29.711721,-95.630837,16
29.711721,-95.630837,20
29.711721,-95.630837,11
29.813142,-95.309789,11
29.713698,-95.606136,12
29.714011,-95.602529,20
29.701596,-95.371599,1
29.760182,-95.377413,17
29.760182,-95.377413,9
29.76149,-95.391627,10
29.76149,-95.391627,8
29.76149,-95.391627,8
29.761168,-95.385558,20
29.76149,-95.391627,14
29.76149,-95.391627,13
29.813142,-95.309789,12
29.759063,-95.402281,20
29.76149,-95.391627,4
29.813142,-95.309789,11
29.761168,-95.385558,17
29.813142,-95.309789,19
29.761168,-95.385558,11
29.761495,-95.396468,15
29.761495,-95.396468,23
29.761168,-95.385558,9
29.759063,-95.402281,22
29.761323,-95.395684,8
29.76149,-95.391627,10
29.813142,-95.309789,3
29.813142,-95.309789,19
29.761168,-95.385558,15
29.761168,-95.385558,13
29.761323,-95.395684,13
29.761323,-95.395684,16
29.761323,-95.395684,13
29.761194,-95.383866,13
29.761194,-95.383866,0
29.759957,-95.401619,5
29.761194,-95.383866,22
29.759957,-95.401619,21
29.774776,-95.418512,23
29.772673,-95.408384,15
29.772742,-95.410536,11
29.813142,-95.309789,17
29.703392,-95.243228,9
29.701204,-95.24173,12
29.681822,-95.249406,12
29.681822,-95.249406,9
29.616599,-95.312274,18
29.788964,-95.400035,14
29.640684,-95.461177,17
29.640739,-95.457728,13
29.640684,-95.461177,15
29.786686,-95.370992,15
29.713974,-95.381531,10
29.720704,-95.379308,1
29.717549,-95.380372,10
29.717549,-95.380372,7
29.717549,-95.380372,13
29.697348,-95.387041,14
29.721598,-95.378985,9
29.722288,-95.378733,20
29.717549,-95.380372,9
29.717549,-95.380372,22
29.697348,-95.387041,18
29.731573,-95.375537,22
29.70003,-95.38603,14
29.70003,-95.38603,15
29.722288,-95.378733,4
29.717549,-95.380372,8
29.708458,-95.383223,15
29.723146,-95.378477,10
29.686023,-95.390828,6
29.679332,-95.393804,12
29.690345,-95.39014,15
29.690345,-95.39014,10
29.690345,-95.39014,13
29.691319,-95.389747,8
29.694018,-95.388779,17
29.660867,-95.400513,14
29.694018,-95.388779,17
29.690345,-95.39014,19
29.679332,-95.393804,12
29.613578,-95.419401,14
29.619032,-95.417273,10
29.619046,-95.417268,23
29.690345,-95.39014,19
29.690345,-95.39014,14
29.619039,-95.417271,16
29.619046,-95.417268,23
29.619046,-95.417268,5
29.604631,-95.423253,23
29.62779,-95.234183,11
29.62661,-95.266318,13
29.627059,-95.254448,15
29.627365,-95.247388,19
29.627731,-95.238797,15
29.62779,-95.234183,7
29.627675,-95.240034,19
29.813142,-95.309789,21
29.627731,-95.238797,16
29.813142,-95.309789,18
29.627731,-95.238797,14
29.627828,-95.230555,13
29.627731,-95.238797,11
29.627641,-95.240732,10
29.627731,-95.238797,10
29.627828,-95.230555,11
29.62779,-95.234183,15
29.62779,-95.234183,13
29.627731,-95.238797,12
29.627731,-95.238797,19
29.622401,-95.216654,11
29.624476,-95.220738,10
29.622658,-95.210369,19
29.613915,-95.384344,23
29.6175,-95.352672,8
29.613915,-95.384344,3
29.613915,-95.384344,16
29.621144,-95.341701,2
29.620998,-95.303354,13
29.621033,-95.311905,8
29.621144,-95.341701,1
29.620998,-95.303354,14
29.613996,-95.402849,3
29.613982,-95.40431,9
29.690345,-95.39014,18
29.813142,-95.309789,21
29.690345,-95.39014,12
29.690345,-95.39014,18
29.813142,-95.309789,17
29.813142,-95.309789,10
29.615135,-95.429328,21
29.874294,-95.458311,6
29.613556,-95.42754,15
29.616583,-95.234696,16
29.825471,-95.435126,7
29.736974,-95.323876,17
29.788212,-95.327402,13
29.789616,-95.327584,8
29.641943,-95.489995,5
29.664445,-95.362288,2
29.591926,-95.470142,10
29.66618,-95.58243,8
29.663859,-95.583333,19
29.634644,-95.403883,7
29.7157,-95.418185,10
29.7157,-95.418185,23
29.7157,-95.418185,17
29.81094,-95.286376,18
29.606356,-95.410902,22
29.606356,-95.410902,11
29.606356,-95.410902,12
29.606356,-95.410902,17
29.605726,-95.469658,9
29.755611,-95.382967,1
29.755622,-95.381194,22
29.755611,-95.382967,0
29.674738,-95.303002,9
29.728513,-95.344468,10
29.732656,-95.358982,9
29.745512,-95.380436,22
29.745512,-95.380436,22
29.745512,-95.380436,0
29.745512,-95.380436,1
29.74499,-95.379602,15
29.745512,-95.380436,3
29.744479,-95.378755,3
29.745512,-95.380436,0
29.732818,-95.509878,9
29.820331,-95.540433,18
29.884537,-95.297358,21
29.849671,-95.32198,10
29.849671,-95.32198,4
29.81538,-95.474071,9
29.840338,-95.47334,6
29.847964,-95.473447,15
29.847964,-95.473447,0
29.813465,-95.473834,17
29.842925,-95.473365,20
29.847964,-95.473447,9
29.839019,-95.473322,15
29.842925,-95.473365,10
29.842925,-95.473365,7
29.847964,-95.473447,12
29.847964,-95.473447,21
29.852376,-95.47347,15
29.851703,-95.473486,15
29.85304,-95.47345,20
29.886464,-95.474403,13
29.85304,-95.47345,11
29.854403,-95.473455,9
29.853722,-95.473446,14
29.886464,-95.474403,22
29.886464,-95.474403,22
29.850586,-95.473467,0
29.854403,-95.473455,20
29.886464,-95.474403,19
29.853722,-95.473446,23
29.861297,-95.473564,11
29.850586,-95.473467,5
29.850586,-95.473467,22
29.848876,-95.473293,22
29.861297,-95.473564,6
29.861297,-95.473564,14
29.86077,-95.473565,17
29.861297,-95.473564,12
29.861965,-95.473563,12
29.861297,-95.473564,2
29.698051,-95.307575,9
29.827486,-95.65992,8
29.859574,-95.425301,19
29.860977,-95.425312,16
29.654704,-95.478464,11
29.654704,-95.478464,7
29.654704,-95.478464,7
29.722411,-95.370916,12
29.7186,-95.364476,16
29.7186,-95.364476,16
29.7186,-95.364476,13
29.719899,-95.366859,7
29.723799,-95.373682,18
29.885452,-95.422668,0
29.693037,-95.379493,5
29.689799,-95.380679,8
29.689799,-95.380679,18
29.689799,-95.380679,8
29.689799,-95.380679,7
29.689799,-95.380679,10
29.698501,-95.377622,20
29.689799,-95.380679,19
29.689799,-95.380679,13
29.689799,-95.380679,16
29.6967,-95.378247,13
29.736978,-95.417378,13
29.800962,-95.394544,23
29.646948,-95.218447,22
29.646948,-95.218447,21
29.646948,-95.218447,18
29.880639,-95.470649,11
29.838113,-95.450551,9
29.769391,-95.428085,20
29.769391,-95.428085,15
29.769869,-95.426405,14
29.617893,-95.497855,16
29.821818,-95.350279,10
29.846101,-95.269854,17
29.76739,-95.418593,8
29.81109,-95.449398,6
29.81103,-95.454055,6
29.81103,-95.454055,19
29.813142,-95.309789,9
29.715553,-95.609594,13
29.709112,-95.490786,19
29.707299,-95.490758,20
29.698213,-95.490638,17
29.709112,-95.490786,22
29.733517,-95.608954,19
29.733544,-95.60748,23
29.733544,-95.60748,8
29.733517,-95.608954,11
29.734736,-95.611342,21
29.729429,-95.612067,19
29.729429,-95.612067,8
29.734654,-95.6145,18
29.734146,-95.614681,14
29.786916,-95.403449,8
29.803892,-95.403787,12
29.645276,-95.371633,14
29.582548,-95.209571,10
29.582548,-95.209571,11
29.586124,-95.19901,21
29.582548,-95.209571,19
29.582548,-95.209571,22
29.72449,-95.640002,10
29.748259,-95.60227,23
29.725141,-95.353596,22
29.648169,-95.483128,20
29.660008,-95.482032,22
29.706476,-95.482408,21
29.813142,-95.309789,0
29.730945,-95.426456,7
29.730945,-95.426456,11
29.730945,-95.426456,11
29.734804,-95.426146,22
29.74077,-95.482361,11
29.749977,-95.482493,12
29.737903,-95.48233,11
29.685916,-95.538766,16
29.80993,-95.392518,17
29.813142,-95.309789,18
29.756282,-95.360076,14
29.844857,-95.467793,18
29.697808,-95.602273,11
29.698661,-95.602283,14
29.774748,-95.226915,4
29.55657,-95.133517,16
29.752144,-95.358807,23
29.752144,-95.358807,12
29.742136,-95.615478,17
29.74186,-95.3045,23
29.739276,-95.296178,14
29.740627,-95.300561,16
29.730406,-95.279902,13
29.737762,-95.303955,12
29.740955,-95.306846,10
29.735276,-95.289049,22
29.7385,-95.298873,10
29.743104,-95.308346,18
29.743142,-95.306203,13
29.741884,-95.302236,21
29.736998,-95.283905,16
29.738131,-95.285386,5
29.743218,-95.301699,6
29.744476,-95.305666,1
29.747266,-95.302279,16
29.747266,-95.302279,0
29.747894,-95.304287,11
29.74663,-95.30029,7
29.747912,-95.30199,1
29.827249,-95.277468,18
29.821877,-95.277524,15
29.682492,-95.372695,23
29.763454,-95.367033,14
29.758489,-95.371068,13
29.757733,-95.371719,15
29.759982,-95.369876,15
29.749015,-95.378568,12
29.749577,-95.378102,13
29.749015,-95.378568,9
29.75029,-95.377552,15
29.749577,-95.378102,6
29.749577,-95.378102,15
29.749577,-95.378102,9
29.749577,-95.378102,10
29.749577,-95.378102,21
29.747705,-95.379591,1
29.754485,-95.397776,23
29.754485,-95.397776,18
29.869467,-95.310593,14
29.648992,-95.214011,19
29.648992,-95.214011,17
29.751544,-95.377823,6
29.747046,-95.381387,2
29.751104,-95.378211,12
29.693357,-95.3495,7
29.729501,-95.284719,23
29.848033,-95.542422,15
29.738426,-95.423638,11
29.776901,-95.184609,18
29.703506,-95.580701,4
29.729411,-95.398795,6
29.729411,-95.398795,8
29.662894,-95.505204,18
29.798617,-95.264747,12
29.79617,-95.267173,7
29.866412,-95.377783,19
29.826125,-95.30439,20
29.6518,-95.365786,14
29.651804,-95.364688,8
29.651804,-95.364688,19
29.792312,-95.688412,8
29.79448,-95.688425,2
29.79448,-95.688425,12
29.777148,-95.643203,13
29.777148,-95.643203,10
29.682409,-95.257581,14
29.86918,-95.311469,15
29.7662,-95.33664,14
29.566775,-95.145275,17
29.597139,-95.18603,8
29.778098,-95.547694,19
29.778124,-95.542209,16
29.778124,-95.542209,19
29.781569,-95.609942,10
30.025935,-95.111574,14
30.025935,-95.111574,16
29.680278,-95.420268,7
29.679853,-95.419474,23
29.680278,-95.420268,11
29.680278,-95.420268,12
29.680278,-95.420268,13
29.680278,-95.420268,6
29.679853,-95.419474,12
29.752118,-95.330165,12
29.673416,-95.380411,19
29.745282,-95.357476,13
29.750134,-95.353569,8
29.683478,-95.340172,1
29.684651,-95.334815,11
29.683478,-95.340172,2
29.773258,-95.594838,13
29.773258,-95.594838,4
29.813142,-95.309789,7
29.773258,-95.594838,13
29.773258,-95.594838,8
29.623268,-95.43514,15
29.884651,-95.50596,19
29.846592,-95.371959,8
29.860182,-95.372176,14
29.575596,-95.108252,20
29.574002,-95.108999,12
29.550249,-95.127206,7
29.563607,-95.114668,8
29.552855,-95.123661,22
29.563607,-95.114668,18
29.572441,-95.109837,17
29.570924,-95.110623,12
29.563607,-95.114668,11
29.566777,-95.112828,12
29.562324,-95.115268,13
29.562324,-95.115268,15
29.563607,-95.114668,12
29.562324,-95.115268,18
29.562324,-95.115268,19
29.561068,-95.115988,10
29.563607,-95.114668,7
29.588591,-95.123745,11
29.575189,-95.129106,14
29.575189,-95.129106,15
29.575189,-95.129106,19
29.575189,-95.129106,15
29.575189,-95.129106,18
29.575189,-95.129106,16
29.575189,-95.129106,18
29.575189,-95.129106,11
29.575189,-95.129106,15
29.575189,-95.129106,15
29.575189,-95.129106,16
29.575189,-95.129106,14
29.575189,-95.129106,14
29.575189,-95.129106,18
29.575189,-95.129106,20
29.575189,-95.129106,13
29.575189,-95.129106,13
29.575189,-95.129106,17
29.575189,-95.129106,21
29.575189,-95.129106,18
29.575189,-95.129106,15
29.575189,-95.129106,13
29.575189,-95.129106,16
29.575189,-95.129106,16
29.575189,-95.129106,17
29.575189,-95.129106,18
29.575189,-95.129106,9
29.575189,-95.129106,13
29.575189,-95.129106,13
29.575189,-95.129106,16
29.575189,-95.129106,21
29.575189,-95.129106,19
29.575189,-95.129106,18
29.786901,-95.376221,16
29.813142,-95.309789,21
29.813142,-95.309789,17
29.813142,-95.309789,17
29.813142,-95.309789,14
29.813142,-95.309789,15
29.813142,-95.309789,13
29.813142,-95.309789,16
29.817175,-95.378745,8
29.773349,-95.337806,6
29.562581,-95.137165,11
29.609012,-95.227785,8
29.85468,-95.271337,1
29.699688,-95.584817,22
29.709418,-95.310592,0
29.708762,-95.311103,13
29.709418,-95.310592,23
29.786038,-95.374289,2
29.784625,-95.374128,9
29.654963,-95.497805,4
29.895118,-95.417447,6
29.895034,-95.419988,9
29.593427,-95.471963,22
29.881733,-95.440208,1
29.689062,-95.461095,10
29.689062,-95.461095,20
29.689062,-95.461095,10
29.688109,-95.494197,22
29.689062,-95.461095,18
29.689017,-95.4628,11
29.688059,-95.498535,12
29.689066,-95.45843,17
29.691565,-95.521874,2
29.691424,-95.52111,13
29.691565,-95.521874,8
29.691753,-95.510508,16
29.691424,-95.52111,23
29.691565,-95.521874,12
29.690915,-95.517554,15
29.691565,-95.521874,12
29.691424,-95.52111,23
29.691565,-95.521874,5
29.690398,-95.547862,23
29.692255,-95.52831,19
29.690435,-95.544024,11
29.692192,-95.53207,13
29.690039,-95.551377,9
29.690039,-95.551377,21
29.68926,-95.553643,8
29.688728,-95.567866,21
29.689278,-95.557482,0
29.68858,-95.568633,13
29.689408,-95.560648,16
29.689278,-95.557482,17
29.689278,-95.557482,10
29.688728,-95.567866,5
29.689078,-95.56394,15
29.689078,-95.56394,8
29.688364,-95.569594,12
29.689075,-95.564555,9
29.689075,-95.564555,23
29.688728,-95.567866,12
29.690092,-95.551729,15
29.688364,-95.569594,9
29.688728,-95.567866,7
29.690092,-95.551729,6
29.689075,-95.564555,23
29.687966,-95.571613,23
29.689368,-95.557888,23
29.68926,-95.553643,10
29.689408,-95.560648,13
29.689109,-95.556354,23
29.687555,-95.587095,15
29.688553,-95.591231,10
29.688553,-95.591231,22
29.687555,-95.587095,20
29.688553,-95.591231,15
29.688899,-95.598314,14
29.688797,-95.604107,15
29.687555,-95.587095,21
29.687555,-95.587095,12
29.687555,-95.587095,7
29.687555,-95.587095,15
29.689814,-95.447263,14
29.689019,-95.454518,15
29.665807,-95.325643,11
29.66525,-95.317957,16
29.666595,-95.323575,7
29.664808,-95.337626,13
29.662005,-95.328887,12
29.66195,-95.3427,22
29.662078,-95.325556,20
29.66183,-95.337145,20
29.664151,-95.325002,18
29.668684,-95.325105,9
29.735611,-95.329327,22
29.751778,-95.36532,15
29.74111,-95.348372,4
29.74111,-95.348372,15
29.703983,-95.506884,9
29.703728,-95.511172,12
29.705446,-95.480355,23
29.70538,-95.484353,12
29.705381,-95.486606,17
29.705295,-95.495853,14
29.705295,-95.495853,15
29.705356,-95.488638,8
29.705303,-95.492876,12
29.705321,-95.490719,15
29.703983,-95.506884,15
29.705381,-95.486606,13
29.705356,-95.488638,10
29.703728,-95.511172,13
29.705331,-95.51892,19
29.705331,-95.51892,16
29.705331,-95.51892,18
29.705331,-95.51892,18
29.705331,-95.51892,8
29.705331,-95.51892,16
29.704989,-95.521198,2
29.705331,-95.51892,21
29.705331,-95.51892,23
29.705331,-95.51892,20
29.705331,-95.51892,15
29.705331,-95.51892,15
29.705331,-95.51892,12
29.70495,-95.527119,17
29.704941,-95.528171,13
29.704751,-95.546642,11
29.704976,-95.523005,14
29.704976,-95.523005,10
29.704594,-95.552586,12
29.704976,-95.523005,13
29.70495,-95.527119,21
29.70445,-95.554906,14
29.70445,-95.554906,23
29.704275,-95.559164,11
29.70445,-95.554906,10
29.703465,-95.596001,22
29.703827,-95.567357,18
29.703521,-95.591704,5
29.703628,-95.582968,14
29.703659,-95.578902,19
29.703787,-95.569129,10
29.70359,-95.587772,10
29.703675,-95.576944,19
29.703827,-95.567357,11
29.703775,-95.571058,9
29.703742,-95.572507,12
29.703659,-95.578902,14
29.703659,-95.578902,17
29.703775,-95.571058,16
29.703628,-95.582968,8
29.703465,-95.596001,0
29.703335,-95.592232,17
29.703521,-95.591704,10
29.703675,-95.576944,11
29.703775,-95.571058,19
29.703721,-95.598795,20
29.703355,-95.614448,11
29.704729,-95.549864,14
29.703721,-95.598795,11
29.703627,-95.612546,4
29.703355,-95.614448,16
29.703721,-95.598795,0
29.703627,-95.612546,15
29.703423,-95.619155,2
29.704789,-95.545149,7
29.704522,-95.553746,18
29.704826,-95.539527,20
29.704594,-95.552586,8
29.70445,-95.554906,9
29.703883,-95.555253,18
29.70445,-95.554906,21
29.704275,-95.559164,15
29.704789,-95.545149,13
29.70472,-95.612961,11
29.707367,-95.582806,15
29.703207,-95.433615,16
29.703096,-95.442425,12
29.712897,-95.515652,15
29.713194,-95.514676,1
29.712934,-95.511575,11
29.712866,-95.517964,5
29.712897,-95.515652,9
29.712934,-95.511575,16
29.712866,-95.517964,16
29.712866,-95.517964,14
29.712866,-95.517964,11
29.712934,-95.511575,21
29.726666,-95.522476,16
29.726666,-95.522476,9
29.726655,-95.524845,13
29.672555,-95.286354,23
29.668711,-95.307212,0
29.672432,-95.281665,11
29.667686,-95.311512,6
29.67551,-95.268362,8
29.668254,-95.308877,2
29.668254,-95.308877,2
29.668254,-95.308877,1
29.668254,-95.308877,14
29.67255,-95.277607,6
29.67255,-95.277607,18
29.670807,-95.303419,12
29.67551,-95.268362,21
29.670807,-95.303419,2
29.672555,-95.286354,11
29.672601,-95.275239,15
29.672432,-95.281665,9
29.672601,-95.275239,23
29.67255,-95.277607,2
29.670807,-95.303419,20
29.668074,-95.309632,13
29.670807,-95.303419,10
29.67551,-95.268362,21
29.668711,-95.307212,23
29.67255,-95.277607,12
29.672555,-95.286354,17
29.67551,-95.268362,21
29.670807,-95.303419,20
29.668711,-95.307212,10
29.67551,-95.268362,16
29.668711,-95.307212,18
29.669512,-95.372869,14
29.669512,-95.372869,12
29.669512,-95.372869,19
29.666633,-95.328973,14
29.813142,-95.309789,9
29.666263,-95.318294,3
29.666263,-95.318294,9
29.666425,-95.332741,8
29.666263,-95.318294,0
29.666495,-95.320992,20
29.666633,-95.328973,18
29.813142,-95.309789,20
29.813142,-95.309789,16
29.668253,-95.465681,15
29.666488,-95.337258,11
29.666275,-95.332741,12
29.666275,-95.332741,4
29.666275,-95.332741,14
29.666275,-95.332741,11
29.668449,-95.354072,13
29.66767,-95.352333,16
29.666275,-95.332741,16
29.666275,-95.332741,18
29.666275,-95.332741,20
29.666275,-95.332741,9
29.666275,-95.332741,9
29.666275,-95.332741,10
29.666275,-95.332741,19
29.666275,-95.332741,17
29.666275,-95.332741,2
29.666275,-95.332741,15
29.666275,-95.332741,20
29.666275,-95.332741,2
29.666275,-95.332741,8
29.666275,-95.332741,13
29.666275,-95.332741,3
29.666275,-95.332741,20
29.666829,-95.31534,6
29.666275,-95.332741,23
29.667686,-95.311512,17
29.666275,-95.332741,20
29.666829,-95.31534,17
29.666275,-95.332741,19
29.666263,-95.318294,0
29.666275,-95.332741,21
29.666275,-95.332741,20
29.667686,-95.311512,12
29.667254,-95.313457,5
29.666275,-95.332741,15
29.666829,-95.31534,9
29.667686,-95.311512,10
29.666495,-95.320992,16
29.667254,-95.313457,9
29.666829,-95.31534,13
29.666664,-95.316404,9
29.666664,-95.316404,15
29.666495,-95.320992,2
29.666275,-95.332741,10
29.666495,-95.320992,14
29.666829,-95.31534,9
29.666829,-95.31534,12
29.666275,-95.332741,10
29.666664,-95.316404,16
29.666275,-95.332741,15
29.666275,-95.332741,12
29.666275,-95.332741,12
29.666275,-95.332741,20
29.666275,-95.332741,13
29.666275,-95.332741,16
29.666275,-95.332741,15
29.666275,-95.332741,13
29.666275,-95.332741,2
29.667259,-95.313257,22
29.813142,-95.309789,11
29.813142,-95.309789,12
29.709747,-95.547392,17
29.709747,-95.547392,22
29.663763,-95.320901,19
29.663763,-95.320901,21
29.662642,-95.333205,20
29.662721,-95.328902,15
29.653671,-95.488575,17
29.65365,-95.49034,14
29.867324,-95.379454,8
29.848885,-95.425792,8
29.943926,-95.398083,16
29.943926,-95.398083,11
29.943926,-95.398083,12
29.943926,-95.398083,19
29.943926,-95.398083,18
29.94359,-95.39596,14
29.94359,-95.39596,11
29.658773,-95.531103,11
29.821445,-95.369588,22
29.822316,-95.330293,23
29.817268,-95.307272,15
29.81726,-95.3088,22
29.817268,-95.307272,14
29.817268,-95.307272,23
30.027259,-95.102708,21
30.045998,-95.184255,15
29.87172,-95.477952,5
29.868456,-95.335529,11
29.74403,-95.584527,9
